professor_name,department,profile_url,source_urls,personal_site_urls,labs,research_topics,research_description_detailed,recruitment_mentions,evidence_count
Nan Jiang,cs,https://cs.illinois.edu/about/people/all-faculty/nanjiang,https://cs.illinois.edu/about/people/all-faculty/nanjiang,,Reinforcement Learning Lab,Reinforcement Learning|Artificial Intelligence|Statistical Reinforcement Learning,"Nan Jiang's research primarily focuses on Reinforcement Learning (RL) and its applications within Artificial Intelligence. His work involves developing theoretical frameworks and algorithms that underpin RL, with an emphasis on statistical methodologies. Day-to-day, he engages in the creation and refinement of RL algorithms, and his teaching includes advanced courses on both foundational and statistical aspects of RL. Additionally, he actively contributes to academic literature as an editor for prestigious journals in this field.",,4
Laxmikant V Kale,cs,https://cs.illinois.edu/about/people/all-faculty/kale,https://cs.illinois.edu/about/people/all-faculty/kale,http://charm.cs.uiuc.edu/~kale/TwoPageNSF.pdf,Kale Research Group,Compilers|Architecture|Parallel Computing|Scientific Computing,"Professor Laxmikant Kale's work centers on high-performance computing (HPC) with a focus on scientific computing, compilers, architecture, and parallel computing. He develops and optimizes parallel programming models and tools, most notably through the Charm++ parallel programming framework. Kale's research involves solving complex computational problems that benefit from parallel architectures, where he examines methods to enhance performance across multiple computing nodes, particularly in varied scientific domains such as hypersonic propulsion. His influence extends to training future leaders in computational science, as evident in his mentoring of graduate students engaged in the U.S. Department of Energy’s Computational Science Graduate Fellowship program.",,4
Samuel N Kamin,cs,https://cs.illinois.edu/about/people/all-faculty/kamin,https://cs.illinois.edu/about/people/all-faculty/kamin|http://loomecsweb.web.engr.illinois.edu/kamin/|http://loomecsweb.web.engr.illinois.edu/kamin/pubs.html|http://loomecsweb.web.engr.illinois.edu/index.html|http://loomecsweb.web.engr.illinois.edu/kamin/outreach.html|http://loomecsweb.web.engr.illinois.edu/kamin/courses.html,http://loomecsweb.web.engr.illinois.edu/kamin/,LOOME|SLICE,program generation|functional programming|domain-specific languages|monads|static analysis|educational technology|software development using Tablet PCs,"In his day-to-day work, Sam Kamin leads two research groups: LOOME and SLICE. The LOOME group engages in programming languages research, focusing on program generation and optimizing programming productivity through run-time code generation techniques, notably in sparse matrix-dense vector multiplication. Meanwhile, SLICE studies educational technology with an emphasis on effective software development and the use of Tablet PCs in enhancing collaborative learning environments. He also dedicates his efforts to diversity initiatives in computer science, aiming to improve recruitment and retention of underrepresented students in the field.",,6
Daniel Kang,cs,https://cs.illinois.edu/about/people/all-faculty/ddkang,https://cs.illinois.edu/about/people/all-faculty/ddkang|https://ddkang.github.io/|https://ddkang.github.io/publications|https://ddkang.github.io/bio|https://ddkang.github.io/students|https://ddkang.github.io/blog,https://ddkang.github.io/,,analytics with machine learning|video analytics|data systems for deploying machine learning|systems for managing and deploying machine learning|querying unstructured data|safe and robust ML deployments,"Daniel Kang's daily research involves developing systems and frameworks that make analytics using machine learning accessible to scientists and analysts. He focuses on video analytics and the infrastructure needed for deploying machine learning models effectively in real-world scenarios. His work includes creating benchmarks for evaluating machine learning performance and exploring techniques for querying unstructured data, including images and audio. Additionally, he is engaged in consulting and collaborations aimed at improving the robustness and safety of ML systems deployments.",actively recruiting PhD students for fall 2023,5
Dominic Kao,cs,https://cs.illinois.edu/about/people/all-faculty/kalikao,https://cs.illinois.edu/about/people/all-faculty/kalikao|https://people.csail.mit.edu/dkao/,https://people.csail.mit.edu/dkao/,Human-Computer Interaction Lab,educational games|virtual identities|avatar design|gamification|reinforcement learning,"Dominic Kao conducts research on the impact of virtual identities and gamification in educational settings, focusing on how avatar design affects student engagement and performance. His work includes developing educational games and environments that incorporate elements of game design to enhance learning experiences. He utilizes systematic experiments to evaluate the effects of avatars and feedback mechanisms in these environments. Additionally, he explores reinforcement learning methods to improve player interactions and educational outcomes within these digital platforms.",,4
Karrie Karahalios,cs,https://cs.illinois.edu/about/people/all-faculty/kkarahal,https://cs.illinois.edu/about/people/all-faculty/kkarahal,,,social visualization|interactions between humans and algorithms|algorithmic bias|crowdfunding campaigns|social media interactions|visual analytics in healthcare,"Karrie Karahalios engages in research that investigates the complex interactions between humans and algorithms, focusing on social media dynamics and algorithmic bias. She applies visual analytics methodologies to enhance communication, particularly for parents discussing developmental delays with clinicians. Her work also includes auditing algorithms for discrimination in online platforms and assessing user interactions with social feeds, emphasizing their social implications. Karahalios actively analyzes how users perceive control over algorithms, leveraging her expertise in social visualization to address these concerns effectively.",,4
Ram Kesavan,cs,https://cs.illinois.edu/about/people/all-faculty/rkesavan,https://cs.illinois.edu/about/people/all-faculty/rkesavan,,,Distributed systems|Storage systems|Distributed databases|File systems,"Ram Kesavan conducts research primarily in the areas of distributed systems and storage systems. He focuses on the design and optimization of file systems, particularly the WAFL (Write Anywhere File Layout) file system used by NetApp, where he addressed aspects like free space reclamation and metadata integrity. At Google Cloud, his work included enhancements to databases such as Firestore and Spanner, with contributions to indexing algorithms for efficient query handling. His publications reflect a detailed investigation into performance improvements within enterprise storage environments and the practical challenges associated with distributed data management.",,3
Dakshita Khurana,cs,https://cs.illinois.edu/about/people/all-faculty/dakshita,https://cs.illinois.edu/about/people/all-faculty/dakshita,https://www.dakshitakhurana.com/,Quantum Computing & Cryptography Lab,Quantum Cryptography|Secure Computation|Zero-Knowledge Proofs|Non-Malleable Protocols|Nash Equilibria|Post-Quantum Cryptography,"Dakshita Khurana's research primarily revolves around cryptography, focusing on the intersections with quantum information. She designs secure protocols including succinct, zero-knowledge proof systems and non-malleable protocols, driving innovations in secure computation. Her work leverages cryptographic hardness to address fundamental issues in theoretical computer science, evidenced by her contributions to understanding Nash equilibria under specific lattice assumptions. Notably, her research on enabling secure computation using weak cryptographic structures has gained prominence, marked by invitations to present at key conferences like QIP.",I am looking for motivated students. Please apply and email me if you are interested in working with me.,4
Halil Kilicoglu,cs,https://cs.illinois.edu/about/people/all-faculty/halil,https://cs.illinois.edu/about/people/all-faculty/halil|https://kilicogluh.github.io/|https://kilicogluh.github.io/publications|https://kilicogluh.github.io/projects|https://kilicogluh.github.io/lab|https://kilicogluh.github.io/mentoring,https://kilicogluh.github.io/,scienceNLP lab,natural language processing|biomedical literature analysis|knowledge extraction|publication transparency|automated assessment of randomized controlled trials|evidence retrieval and synthesis,"Halil Kilicoglu's daily research activities primarily involve applying natural language processing (NLP) techniques to biomedical literature to facilitate knowledge extraction and enhance publication transparency. He leads projects that utilize NLP for assessing randomized controlled trials and automating the classification of study designs in publications. Additionally, his work addresses citation integrity, where he employs NLP to analyze and improve the accuracy of citations in scientific texts. Kilicoglu also mentors PhD students in these areas, encouraging innovation in text mining and knowledge representation.",I am recruiting PhD students.,3
Minje Kim,cs,https://cs.illinois.edu/about/people/all-faculty/minje,https://cs.illinois.edu/about/people/all-faculty/minje|https://minjekim.com/bio/|https://minjekim.com/research-projects/collaborative-deep-learning-for-speech-enhancement|https://minjekim.com/research-projects/collaborative-audio-enhancement|https://minjekim.com/research-projects/bloom-net|https://minjekim.com/research-projects/sese,https://minjekim.com/bio/,Machine Learning and Audio Processing Lab,Model Compression|Personalized AI|Speech Enhancement|Neural Speech and Audio Coding|Data Augmentation|AI for Audio|Source Separation,"Minje Kim focuses on enhancing the efficiency and scalability of machine learning models tailored for audio applications. Day-to-day, he works on developing model compression techniques to optimize on-device processing, allowing for more efficient use of computing resources. He also investigates personalization methods to adapt AI models to specific user voices for improved speech enhancement. His research involves creating scalable architectures that can adjust based on changing resource availability, which he applies to various audio challenges including signal enhancement, source separation, and spatial audio.",,3
Nam Sung Kim,cs,https://cs.illinois.edu/about/people/all-faculty/nskim,https://cs.illinois.edu/about/people/all-faculty/nskim,,,High-performance processor architectures|Energy-efficient computing techniques|AI and machine learning systems|Compilers and parallel computing|Network architecture for data centers,"Nam Sung Kim's research centers on developing high-performance and energy-efficient computing architectures tailored for artificial intelligence and machine learning applications. He employs various methodologies including architectural optimizations in processor and memory designs to enhance performance and reduce power consumption, particularly for mobile devices and data centers. His work often involves compiler enhancements and simulator optimization, specifically utilizing platforms like gem5 to analyze the performance impacts of architectural changes. Moreover, he delves into novel memory architectures to support dynamic supply voltage adjustments and optimize data handling in low-power environments.",,4
Kohei Kishida,cs,https://cs.illinois.edu/about/people/all-faculty/kkishida,https://cs.illinois.edu/about/people/all-faculty/kkishida,,,Philosophical Foundations of Computer Science|Philosophy of Mathematics|Symbolic Logic,"Kohei Kishida engages in the philosophical underpinnings of computer science and mathematics, teaching courses that delve into fundamental philosophical concepts applicable in computational contexts. His work particularly focuses on symbolic logic and its implications for understanding mathematical reasoning, as well as the broader implications of philosophy on the foundations of computer science. Kishida leads seminars that examine advanced theoretical topics, aiming to bridge analytical philosophy and logical frameworks relevant to computational theories.",,1
Andreas Klöckner,cs,https://cs.illinois.edu/about/people/all-faculty/andreask,https://cs.illinois.edu/about/people/all-faculty/andreask|https://andreask.cs.illinois.edu/aboutme/|https://andreask.cs.illinois.edu/research|https://andreask.cs.illinois.edu/|https://andreask.cs.illinois.edu/teaching|https://andreask.cs.illinois.edu/archives.html,https://andreask.cs.illinois.edu/aboutme/,Scientific Computing Group|Computational Mathematics Group,High-order accurate integral equation methods|Fast algorithms for elliptic boundary value problems|Numerical solution of partial differential equations|High-performance scientific computing|Code transformation for high-performance computing,"Andreas Klöckner conducts research in high-order numerical methods for solving partial differential equations, particularly focusing on integral equation methods and fast algorithms applicable to elliptic boundary value problems. His daily work involves developing algorithms that enhance the accuracy and efficiency of these methods through implementation on high-performance computing environments, including the use of GPUs. He is also engaged in advancing Particle-in-Cell simulations for plasma physics, integrating high-order approximations and unstructured mesh techniques. Additionally, he is involved in exploring multi-rate time integration techniques to improve simulation efficiency across various time scales.",The most important quality I look for in students is self-motivation.,5
Alexandra Kolla,cs,https://cs.illinois.edu/about/people/all-faculty/akolla,https://cs.illinois.edu/about/people/all-faculty/akolla|https://people.ucsc.edu/~akolla/,https://people.ucsc.edu/~akolla/,,Quantum Computing|Spectral Graph Theory|Algorithms|Complexity|Statistical Physics|Convex Programming,"Alexandra Kolla is engaged in researching spectral methods as they apply to graph algorithms, with a particular interest in developing new techniques leveraging graph spectra. Her work frequently involves addressing complex theoretical questions, including those related to NP-hard problems. She also explores algorithmic approaches to quantum computing issues, using both statistical physics and convex programming as part of her methodology.",,3
Sanmi Koyejo,cs,https://cs.illinois.edu/about/people/all-faculty/sanmi,https://cs.illinois.edu/about/people/all-faculty/sanmi,,,Artificial Intelligence|Machine Learning|Probabilistic Graphical Models|Probabilistic Models for Neuroscience,"Sanmi Koyejo conducts research focused on developing artificial intelligence methodologies, with a significant emphasis on machine learning and probabilistic graphical models. His work involves creating models that can analyze complex data structures, particularly in neuroscience applications, aiming to enhance the interpretability and reliability of AI systems. Additionally, he teaches advanced courses in machine learning, where he engages students in practical applications and theoretical underpinnings of these technologies. Koyejo's research also intersects with ethical considerations in AI deployment.",,3
Bill Kramer,cs,https://cs.illinois.edu/about/people/all-faculty/wtkramer,https://cs.illinois.edu/about/people/all-faculty/wtkramer,,National Center for Supercomputing Applications,File Systems|Parallel / High-Performance Computing|Parallel Systems|Scientific Computing|Security and Privacy,"Bill Kramer engages in research centered on the performance and efficiency of high-performance computing systems. His work includes innovating file systems that are optimized for parallel processing to support large-scale scientific computations. Additionally, he tackles security and privacy issues relevant to the computational systems he designs, aiming to bolster data integrity and protection in high-end computing environments.",,2
Robin Kravets,cs,https://cs.illinois.edu/about/people/all-faculty/rhk,https://cs.illinois.edu/about/people/all-faculty/rhk,,The Mobius Group,Security and Privacy|Systems and Networking|Wireless Networking|Communication Networks,"Professor Kravets focuses on systems and networking, with particular attention to security and privacy issues in these domains. His work involves both theoretical and practical aspects of wireless networking technologies, allowing for robust communication systems. In addition to his research, he teaches courses such as Communication Networks and Wireless Networks, guiding students in advanced networking principles and their applications.",,2
Rakesh Kumar,cs,https://cs.illinois.edu/about/people/all-faculty/rakeshk,https://cs.illinois.edu/about/people/all-faculty/rakeshk,,Computer Architecture Research Group,Low power designs|Complexity-effective designs|CAD/architecture interactions|Computer architecture|Compilers|Parallel computing,"Rakesh Kumar conducts research in computer architecture, focusing on low power and complexity-effective designs that enhance system performance while minimizing energy consumption. He investigates the interplay between computer-aided design (CAD) tools and architectural systems to optimize design processes. His group is engaged in solving problems across the computing stack, from hardware circuits to high-level applications, often employing advanced parallel computing techniques and compiler optimizations to improve system efficiency. This detailed exploration helps inform both theoretical frameworks and practical implementations in the field of computer architecture.",I am always looking for motivated and exceptional undergraduate students to join my group.,4
Ranjitha Kumar,cs,https://cs.illinois.edu/about/people/all-faculty/ranjitha,https://cs.illinois.edu/about/people/all-faculty/ranjitha,,Interactive Computing Lab,User-Centered Machine Learning|Human-Computer Interaction|Data-Driven Design|Web Programming,"Ranjitha Kumar's work revolves around interactive computing, with a strong focus on user-centered machine learning and human-computer interaction. She teaches and develops curricula that explore the intersection of creativity and technology, such as web programming and user interaction in machine learning environments. Kumar applies data-driven design principles to improve user experiences in digital applications, leveraging her past experience with UserTesting to enhance her research and teaching methodologies. Additionally, she oversees the Innovation Leadership and Engineering Entrepreneurship Program, guiding students in applying computing concepts to real-world engineering challenges.",,4
Fan Lai,cs,https://cs.illinois.edu/about/people/all-faculty/fanlai,https://cs.illinois.edu/about/people/all-faculty/fanlai|https://fanlai.me/|https://fanlai.me/index.html,https://fanlai.me/,Machine Learning and Systems Lab,Cloud ML Systems and Algorithms|Systems for Collaborative Learning|Federated Learning|Large Language Models (LLMs)|Deployable Learning-Based Systems,"Fan Lai's work at the University of Illinois Urbana-Champaign focuses on integrating machine learning algorithms with cloud computing and networked systems to create efficient AI systems. He and his team research large language models, distributed machine learning techniques, and collaborative learning frameworks, specifically targeting edge-cloud collaborations for scalable training compared to traditional methods. His systems have practical applications, having been adopted by major tech companies including Google and Meta, addressing challenges in machine learning deployment and data analytics across various scales.",I am looking for highly self-motivated MS & PhD students and (remote) interns who are excited about ML and Systems research.,0
H. Chad Lane,cs,https://cs.illinois.edu/about/people/all-faculty/hclane,https://cs.illinois.edu/about/people/all-faculty/hclane|https://www.hchadlane.net/|https://www.hchadlane.net/projects-research-activities|https://www.hchadlane.net/publications|https://www.hchadlane.net/research|https://www.hchadlane.net/consulting,https://www.hchadlane.net/,,Artificial Intelligence in Education|Interactive Computing|Learning Technologies|Generative AI in Education,"H. Chad Lane blends principles from the entertainment industry with advanced AI techniques to create interactive educational tools aimed at enhancing cognitive outcomes in learners. His work specifically focuses on the application of large language models and generative AI, integrated with classical AI methods, to foster deeper engagement and interactivity in learning technologies. Lane collaborates with interdisciplinary teams, involving disciplines such as psychology and linguistics, to address complex educational challenges, emphasizing the development of problem-solving and self-regulatory skills among learners. His current research also explores the role of affect-aware technologies in educational settings.",,2
Steven M. LaValle,cs,https://cs.illinois.edu/about/people/all-faculty/lavalle,https://cs.illinois.edu/about/people/all-faculty/lavalle,,Planning Algorithms Lab,robotics|motion planning|cyber-physical systems|control theory|computational geometry|artificial intelligence|computational biology|computer vision|computer graphics|filtering|sensor fusion,"Professor LaValle's work primarily involves designing planning algorithms that address challenges in continuous spaces and complicated constraints. He merges concepts from robotics and artificial intelligence, aiming to solve problems that arise in various applications such as computer graphics and architectural design. His research also emphasizes theoretical analysis alongside practical implementation, fostering the use of these algorithms across education and industry. The Motion Strategy Library (MSL), which he developed, serves as a vital resource for motion planning methodologies.",,2
Sarah Lawsky,cs,https://cs.illinois.edu/about/people/all-faculty/slawsky,https://cs.illinois.edu/about/people/all-faculty/slawsky,,Computational Law Research Lab,Software Engineering|Formal Methods|Programming Languages|Computational Law|Tax Law,"Professor Sarah Lawsky focuses on the formalization of tax law and its computational applications. She conducts research on using specific nonstandard logic to create structured representations of tax statutes, which informs the development of a programming language called Catala aimed at automating aspects of tax law. Her work also explores the intersection of tax law and technology, including the implications of large language models in legal contexts, such as their use as virtual tax attorneys. Additionally, she teaches courses on law subjects including contracts and income taxation.",,2
Svetlana Lazebnik,cs,https://cs.illinois.edu/about/people/all-faculty/slazebni,https://cs.illinois.edu/about/people/all-faculty/slazebni|http://slazebni.cs.illinois.edu/|http://slazebni.cs.illinois.edu/birthday_history_paper.html|http://slazebni.cs.illinois.edu/spring26|http://slazebni.cs.illinois.edu/fall24|http://slazebni.cs.illinois.edu/fall23,http://slazebni.cs.illinois.edu/,,scene understanding|joint modeling of images and text|large-scale photo collections|machine learning techniques for visual recognition,"Professor Svetlana Lazebnik specializes in computer vision, where her daily work involves developing methodologies for scene understanding and tackling visual recognition problems. She employs machine learning techniques to analyze large-scale photo collections and integrates image and text modeling to enhance understanding from visual data. Key tools include convolutional neural networks and deep learning approaches applied in real-world scenarios like object detection. Her courses often provide hands-on experience with technologies like PyTorch, focusing on practical applications of theoretical concepts in image processing.",,3
Kirill Levchenko,cs,https://cs.illinois.edu/about/people/all-faculty/klevchen,https://cs.illinois.edu/about/people/all-faculty/klevchen,,Laboratory for Cyber-Physical System Security,Network attacks and defenses|Cyber-physical and embedded system security analysis|E-crime and Internet service abuse|Network measurement|Aviation cyber-security,"Professor Kirill Levchenko conducts research focused on enhancing the security of cyber-physical systems and networks. He analyzes vulnerabilities in embedded system security and investigates network attacks and defenses. His work includes measuring network performance with the PacketLab system and exploring threats from e-crime and Internet service abuse. Levchenko is also involved in aviation cyber-security, addressing unique challenges posed by the aviation industry's reliance on networked systems.",My lab is always looking for motivated undergraduate students interested in research in:,3
Colleen M. Lewis,cs,https://cs.illinois.edu/about/people/all-faculty/colleenl,https://cs.illinois.edu/about/people/all-faculty/colleenl,,CS Education Research,"Broadening Participation in Computing|Computer Science Education|Effective CS Teaching Practices|Diversity, Equity, and Inclusion in CS","Colleen Lewis's research focuses on understanding the dynamics of learning and teaching in computer science, specifically targeting barriers to effective learning in this field. She employs methods from both computer science and education to optimize curricula and teaching practices. Her work involves curating and disseminating resources through platforms like CSTeachingTips.org, as well as conducting policy analysis related to CS education. Lewis teaches a variety of courses that encompass topics in inclusive computing and advanced seminar discussions on computers and education.",,3
Bo Li,cs,https://cs.illinois.edu/about/people/all-faculty/lbo,https://cs.illinois.edu/about/people/all-faculty/lbo,,,Information Theory|Game Theory|Privacy|Trustworthy Machine Learning|Security|Artificial Intelligence,"Bo Li focuses on the intersection of artificial intelligence and security, particularly in developing frameworks for trustworthy machine learning. His day-to-day activities include formulating algorithms designed to enhance security protocols in machine learning systems, exploring privacy-preserving methodologies, and applying game theory to optimize outcomes in AI scenarios. He examines adversarial machine learning to understand vulnerabilities and improve performance metrics, aligning technologies with societal trust requirements in AI applications.",,4
Xiaojing Liao,cs,https://cs.illinois.edu/about/people/all-faculty/xjliao,https://cs.illinois.edu/about/people/all-faculty/xjliao,https://www.xiaojingliao.com/,,Cybersecurity|Cyber deception|Privacy-preserving machine learning|Security operations centers,"Xiaojing Liao's work focuses on advancing cybersecurity techniques through innovative approaches including cyber deception and privacy-focused machine learning methods. She is actively researching how large language models can be utilized to create adaptive frameworks for security operations centers, thereby improving cyber defense mechanisms. Her academic courses like 'Computer Security II' and 'Advanced Topics in Security, Privacy and Machine Learning' reflect her focus on the intersection of security and machine learning.",,2
Ge Liu,cs,https://cs.illinois.edu/about/people/all-faculty/geliu,https://cs.illinois.edu/about/people/all-faculty/geliu|https://geliu.web.illinois.edu/,https://geliu.web.illinois.edu/,"Baker Lab, Institute for Protein Design",deep generative models|multimodal flow matching|physics-informed deep generative modeling|reinforcement learning with generative priors|optimization methods in biomedicine|computational design of antibodies and enzymes,"Ge Liu's research focuses on developing multimodal and geometry-aware deep generative models specifically for applications in life sciences. He works on problems related to the computational design of functional biological molecules, including the optimization of antibodies and enzymes, as well as drug discovery. His lab employs advanced techniques like sequential optimization, RL with generative priors, and physics-informed modeling to solve guided and conditional generation tasks. Additionally, he is investigating autonomous LLM systems designed for rigorous scientific tool utilization and alignment, demonstrating a keen interest in active learning and model uncertainty.",I am actively looking for highly-motivated Ph.D. students and interns.,3
Hongye Liu,cs,https://cs.illinois.edu/about/people/all-faculty/hl314,https://cs.illinois.edu/about/people/all-faculty/hl314|https://publish.illinois.edu/hongyeliu/|https://publish.illinois.edu/hongyeliu/cv|https://publish.illinois.edu/hongyeliu/research|https://publish.illinois.edu/hongyeliu/reference-letter-request|https://publish.illinois.edu/hongyeliu/teaching,https://publish.illinois.edu/hongyeliu/,Bioinformatics and Computational Biology Lab|Universal Design for Learning Lab,Machine Learning|Bioinformatics|Large scale Biomedical data analysis|Universal Design for Learning|Computer Science Education,"Professor Hongye Liu's research focuses on the learning experiences of college students, especially those with disabilities, using the Universal Design for Learning (UDL) framework. Day-to-day, he develops interventions that incorporate machine learning techniques to analyze student data, tailoring educational practices to better meet the diverse needs of students in STEM fields. This includes creating tools to improve accessibility in mathematics and producing multimedia content that supports various learning modalities. He actively engages in training educators to implement UDL principles in their courses and assesses the effectiveness of these strategies through empirical research.",,4
Yaoyao Liu,cs,https://cs.illinois.edu/about/people/all-faculty/lyy,https://cs.illinois.edu/about/people/all-faculty/lyy,https://yliu.eu.org/,School of Information Sciences|Coordinated Science Laboratory|Siebel School of Computing and Data Science|Department of Electrical & Computer Engineering,Computer Vision|Machine Learning|Medical Image Analysis|Continual Learning|Few-Shot Learning|Semi-Supervised Learning|Generative Models|3D Geometry Models,"Yaoyao Liu conducts research at the intersection of computer vision and machine learning. His daily work involves designing algorithms that enhance the performance of visual systems in low-data regimes, employing techniques such as continual learning and few-shot learning. He also develops semi-supervised learning frameworks that leverage limited labeled data for effective image analysis, with a particular emphasis on applications in medical imaging. Liu integrates generative models and advanced 3D geometry approaches to create more robust and efficient learning systems for complex visual tasks.","I am actively looking for self-motivated Ph.D. students with interests in computer vision and machine learning. If you are interested, please send me an email.",3
Yiling Lou,cs,https://cs.illinois.edu/about/people/all-faculty/yilingl,https://cs.illinois.edu/about/people/all-faculty/yilingl|https://yilinglou.github.io/|https://yilinglou.github.io/publication.html|https://yilinglou.github.io/team.html|https://yilinglou.github.io/index.html|https://yilinglou.github.io/service.html,https://yilinglou.github.io/,Software Engineering and Artificial Intelligence,Large Language Models (LLMs)|Agent-based Software Engineering|Vulnerability Detection|Software Testing|Debugging|Code Agents|Code LLMs|AI4SE (Artificial Intelligence for Software Engineering)|SE4AI (Software Engineering for AI),"Yiling Lou's research focuses on the integration of artificial intelligence and programming languages within software engineering. Her work involves developing frameworks like INFERROI, which enhances classic static analysis techniques by employing LLMs to detect resource leaks in open-source projects, thus broadening the scope of traditional methods. Additionally, she leads projects on multi-agent systems, such as TransAgent, which aims to improve code translation by aligning program executions for stronger self-fixing capabilities. Lou also organizes workshops like LLM4Code to further explore the applications of LLMs in software engineering tasks, emphasizing bug detection and agent issue resolution.",I am looking for Fall'26 PhD/MS students to join my research group at UIUC.,4
Ismini Lourentzou,cs,https://cs.illinois.edu/about/people/all-faculty/lourent2,https://cs.illinois.edu/about/people/all-faculty/lourent2|https://isminoula.github.io/,https://isminoula.github.io/,PLAN Lab,Multimodal Embodied Agents|Interactive AI Agents|Embodied AI|Generative AI|Multimodal Machine Learning|Computer Vision,"At the Perception and LANguage (PLAN) Lab, Ismini Lourentzou conducts research focused on developing multimodal AI systems that integrate perception, language, generation, and action, allowing these systems to interact effectively with the physical world. Her work particularly emphasizes grounded multimodal tasks using vision-language models, as well as building reasoning-driven generative models that can understand and generate across various modalities, including images, videos, and 3D environments. Additionally, Lourentzou explores the applications of embodied AI in robotic manipulation and enhancing human-agent interactions through demonstration and instruction following. The lab also emphasizes the use of AI for impactful purposes in healthcare and scientific discovery.","I recruit graduate students through the School of Information Sciences (iSchool), the Siebel School of Computing and Data Science (CS), and the Electrical and Computer Engineering (ECE) Department at the University of Illinois Urbana-Champaign.",4
Zhiyong Lu,cs,https://cs.illinois.edu/about/people/all-faculty/luzh,https://cs.illinois.edu/about/people/all-faculty/luzh,,,,,,1
Bertram Ludaescher,cs,https://cs.illinois.edu/about/people/all-faculty/ludaesch,https://cs.illinois.edu/about/people/all-faculty/ludaesch,,,Data and Information Systems|Data Management|Data Curation|Data Cleaning|Information Modeling,"Bertram Ludaescher focuses on the development and application of methodologies for data and information systems, particularly concerning data management and curation. His work includes teaching and pioneering techniques in data cleaning, emphasizing both theoretical underpinnings and practical implementations. He also engages in information modeling, which entails structuring and interpreting data within various systems to optimize its utility and integrity.",,2
Steve Lumetta,cs,https://cs.illinois.edu/about/people/all-faculty/lumetta,https://cs.illinois.edu/about/people/all-faculty/lumetta|http://lumetta.web.engr.illinois.edu/|http://lumetta.web.engr.illinois.edu/research.html|http://lumetta.web.engr.illinois.edu/projects/index.html|http://lumetta.web.engr.illinois.edu/vitae-1.03-patch-01|http://lumetta.web.engr.illinois.edu/vitae.html,http://lumetta.web.engr.illinois.edu/,Coordinated Science Laboratory,high-performance networking|hierarchical systems|parallel runtime software|optical network architecture|computer architecture|cluster computing,"Professor Steve Lumetta's work revolves around enhancing high-performance networking and computing environments. He engages in projects involving dynamic optimization in microprocessors, which includes performance characterization of frameworks that facilitate this optimization. His research also explores hierarchical systems and parallel programming, focusing on user-level communication and issues of reliability and validation. Additionally, he investigates the design of optical network architectures, assessing their effectiveness in dynamic wavelength routing and congestion management within distributed systems.",,3
Ning Luo,cs,https://cs.illinois.edu/about/people/all-faculty/nl27,https://cs.illinois.edu/about/people/all-faculty/nl27,,Department of Electrical and Computer Engineering,Trustworthy Machine Learning|Applied Cryptography|Formal methods and Automated Reasoning|Security and Privacy,"Ning Luo's research is focused on integrating formal methods and automated reasoning with programming languages and cryptography to enhance security and confidentiality in computational systems. His investigations include developing privacy-preserving mechanisms for applications like distributed secret sharing and efficient regular expression matching. Additionally, he explores advanced concepts such as two-party private SAT solving and practical implementations of zero-knowledge proofs, ensuring that cryptographic protocols are both secure and verifiable.",I am looking for motivated and energetic Ph.D. students. Candidates are expected to have a solid background in Computer Science.,2
Jiaqi Ma,cs,https://cs.illinois.edu/about/people/all-faculty/jiaqima,https://cs.illinois.edu/about/people/all-faculty/jiaqima|https://jiaqima.github.io/|https://jiaqima.github.io/about|https://jiaqima.github.io/papers/data-attribution-survey|https://jiaqima.github.io/opening,https://jiaqima.github.io/,Data Foundations of AI Lab,data attribution|data curation|data compensation|synthetic data generation|machine unlearning,"Jiaqi Ma's research focuses on the data foundations of artificial intelligence (AI), with particular attention to how training data influences AI model behaviors. He develops data-centric algorithms to enhance the quality and safety of training datasets, which includes data curation and synthetic data generation methodologies. Furthermore, he investigates the broader societal impacts of AI, including issues related to data compensation and machine unlearning, which involves strategies to remove or mitigate the influence of specific training data on models. His work is grounded in practical applications in machine learning and AI, often bridging theoretical research with real-world implementations.",I am actively recruiting Ph.D. students.,2
Darko Marinov,cs,https://cs.illinois.edu/about/people/all-faculty/marinov,https://cs.illinois.edu/about/people/all-faculty/marinov|https://mir.cs.illinois.edu/marinov/|https://mir.cs.illinois.edu/marinov/publications|https://mir.cs.illinois.edu/marinov/teaching|https://mir.cs.illinois.edu/marinov/students|https://mir.cs.illinois.edu/marinov/externalphd,https://mir.cs.illinois.edu/marinov/|https://mir.cs.uiuc.edu/,Software Testing and Analysis Lab,software testing|automated testing frameworks|bug detection|static and dynamic program analysis|test-case prioritization,"Darko Marinov's day-to-day work centers on software engineering with a strong emphasis on software testing methodologies. He develops frameworks, such as TestEra, tailored for automated testing of Java applications. His research involves both static and dynamic analysis techniques to identify software bugs, optimize test-case prioritization, and mitigate the influence of flaky tests in testing processes. Marinov also engages in projects that enhance reproducibility of computational results in scientific software, collaborating with industry partners like Boeing and Google.",Fall 2026: sabbatical|No new service until Dec 2026 (sabbatical),5
